NR_MARKER;GEOHASH;DIST_AGGLO_HAVERSINE;DIST_AGGLO_SIMPLIFIED;DIST_GREEDY_HAVERSINE;DIST_GREEDY_SIMPLIFIED
6;          0.004070;   0.011423;               0.000904;               0.000809;               0.000254
60;         0.010308;   0.042322;               0.006467;               0.001389;               0.000858
300;        0.019919;   0.480447;               0.450619;               0.007816;               0.006674
600;        0.032821;   4.197365;               4.086167;               0.029114;               0.025106
1200;       0.069651;   40.790961;              45.733364;              0.096880;               0.088097
