NR_MARKER;GEOHASH;DIST_AGGLO_HAVERSINE;DIST_AGGLO_SIMPLIFIED;DIST_GREEDY_HAVERSINE;DIST_GREEDY_SIMPLIFIED
6;          0.003399;   0.004787;               0.000325;               0.005224;               0.000954
60;         0.032758;   0.008488;               0.006522;               0.001178;               0.001469
300;        0.032758;   0.032758;               0.032758;               0.032758;               0.032758
600;        0.033256;   3.481002;               3.688769;               0.044379;               0.044104
1200;       0.072415;   43.455140;              37.668295;              0.173846;               0.176403
