NR_MARKER;GEOHASH;DIST_AGGLO_HAVERSINE;DIST_AGGLO_SIMPLIFIED;DIST_GREEDY_HAVERSINE;DIST_GREEDY_SIMPLIFIED
6;          0.003686;   0.005261;               0.000358;               0.005624;               0.000981
60;         0.006177;   0.015553;               0.008946;               0.005240;               0.001400
300;        0.020384;   0.069936;               0.039483;               0.025988;               0.021639
600;        0.033774;   0.225456;               0.173649;               0.103778;               0.082500
1200;       0.076762;   31.023063;              0.924046;               0.446924;               0.386068 
